1359509712.212609,1000
1359509712.251193,1000
1359509712.285621,856
1359509712.319907,680
1359509712.353726,511
1359509712.388863,451
1359509712.422112,444
1359509712.456797,450
1359509712.492568,453
1359509712.527258,449
1359509712.560749,450
1359509712.594859,451
1359509712.628821,443
1359509712.663831,447
1359509712.698905,451
1359509712.731962,450
1359509712.766978,452
1359509712.802080,453
1359509712.837465,453
1359509712.873528,453
1359509712.907167,453
1359509712.942036,453
1359509712.977032,452
1359509713.009815,452
1359509713.042369,453
1359509713.076259,453
1359509713.112734,453
1359509713.147971,452
1359509713.183607,453
1359509713.217753,452
1359509713.253354,453
1359509713.289697,453
1359509713.324131,452
1359509713.360416,451
1359509713.394942,449
1359509713.428505,440
1359509713.462157,453
1359509713.497787,453
1359509713.532564,447
1359509713.567443,447
1359509713.601138,451
1359509713.634280,451
1359509713.668547,450
1359509713.701367,451
1359509713.735181,451
1359509713.767730,452
1359509713.800820,451
1359509713.835372,452
1359509713.869709,453
1359509713.903721,452
1359509713.940520,452
1359509713.974185,453
1359509714.009696,453
1359509714.043241,446
1359509714.075503,451
1359509714.108006,452
1359509714.140738,452
1359509714.173491,451
1359509714.207524,452
1359509714.240179,452
1359509714.273694,452
1359509714.308019,453
1359509714.341666,452
1359509714.375171,452
1359509714.409467,450
1359509714.446994,453
1359509714.482733,453
1359509714.517178,452
1359509714.550998,453
1359509714.584309,452
1359509714.618020,453
1359509714.652347,452
1359509714.685012,450
1359509714.721753,452
1359509714.756043,452
1359509714.790824,452
1359509714.825102,451
1359509714.859965,453
1359509714.893487,451
1359509714.927509,448
1359509714.961655,452
1359509714.995512,453
1359509715.029350,452
1359509715.062527,453
1359509715.096393,452
1359509715.128954,452
1359509715.163871,453
1359509715.197616,451
1359509715.233620,452
1359509715.266998,447
1359509715.303834,450
1359509715.340588,450
1359509715.374990,450
1359509715.408545,452
1359509715.441376,452
1359509715.475531,452
1359509715.508873,453
1359509715.542604,451
1359509715.577726,453
1359509715.612553,452
1359509715.647115,452
1359509715.680122,452
1359509715.713262,452
1359509715.747779,449
1359509715.781822,450
1359509715.814772,451
1359509715.848542,451
1359509715.882822,452
1359509715.917523,452
1359509715.953048,452
1359509715.986048,446
1359509716.018354,452
1359509716.053784,453
1359509716.086520,448
1359509716.122731,453
1359509716.157065,452
1359509716.191622,453
1359509716.226219,450
1359509716.262874,449
1359509716.297042,452
1359509716.334723,453
1359509716.369574,453
1359509716.404512,452
1359509716.438526,448
1359509716.473823,453
1359509716.508765,453
1359509716.544630,451
1359509716.578799,453
1359509716.613284,452
1359509716.646883,453
1359509716.681832,452
1359509716.717454,453
1359509716.750919,450
1359509716.784873,453
1359509716.818862,450
1359509716.854608,453
1359509716.890080,452
1359509716.923559,448
1359509716.956299,453
1359509716.989296,451
1359509717.026176,453
1359509717.060448,453
1359509717.094476,452
1359509717.128480,452
1359509717.162632,451
1359509717.195764,452
1359509717.232459,453
1359509717.264844,452
1359509717.299476,451
1359509717.336725,452
1359509717.373393,452
1359509717.406559,451
1359509717.441190,452
1359509717.477500,450
1359509717.513380,452
1359509717.546047,452
1359509717.579414,452
1359509717.614612,453
1359509717.649556,451
1359509717.683081,452
1359509717.718245,452
1359509717.754164,447
1359509717.791001,452
1359509717.824825,452
1359509717.857622,450
1359509717.890905,452
1359509717.925428,451
1359509717.960339,452
1359509717.994960,452
1359509718.027825,448
1359509718.060970,453
1359509718.095191,452
1359509718.127709,451
1359509718.161081,451
1359509718.193341,452
1359509718.228653,452
1359509718.264610,452
1359509718.299934,453
1359509718.333090,448
1359509718.367546,452
1359509718.404310,452
1359509718.440193,451
1359509718.474659,452
1359509718.509844,451
1359509718.544606,452
1359509718.579707,453
1359509718.616879,453
1359509718.650437,453
1359509718.682733,450
1359509718.716515,452
1359509718.753712,453
1359509718.790320,452
1359509718.823358,453
1359509718.860165,453
1359509718.895985,452
1359509718.933154,451
